I41,I42,I43,I44,I45,I46,I47,I48,I49,I50
-0.7319422150882825,0.646677471636953,-3.3565640194489466,-3.988562091503268,1.3529411764705883,1.142156862745098,-1.3362151777137368,-0.7329490874159462,-1.1106796116504853,-0.7087378640776699
-0.7303370786516854,0.6515397082658023,-3.358184764991896,-3.9787581699346406,1.3496732026143792,1.1503267973856208,-1.2881844380403458,-0.8472622478386167,-1.112621359223301,-0.7048543689320388
-0.7287319422150883,0.6482982171799028,-3.359805510534846,-3.973856209150327,1.3513071895424837,1.15359477124183,-1.2853025936599423,-0.866474543707973,-1.116504854368932,-0.7145631067961165
-0.7303370786516854,0.6482982171799028,-3.3614262560777957,-3.977124183006536,1.3513071895424837,1.1568627450980393,-1.2939481268011528,-0.7031700288184438,-1.1223300970873786,-0.7203883495145631
-0.7255216693418941,0.6628849270664505,-3.3630470016207457,-3.9820261437908497,1.3496732026143792,1.161764705882353,-1.3045148895292988,-0.574447646493756,-1.1009708737864077,-0.7359223300970874
-0.7271268057784912,0.6726094003241491,-3.3630470016207457,-3.977124183006536,1.3529411764705883,1.15359477124183,-1.2901056676272815,-0.5033621517771374,-1.054368932038835,-0.7436893203883496
-0.7271268057784912,0.6742301458670988,-3.3630470016207457,-3.973856209150327,1.3562091503267975,1.1503267973856208,-1.297790585975024,-0.5571565802113353,-0.9883495145631068,-0.7398058252427184
-0.7271268057784912,0.6774716369529984,-3.3679092382495948,-3.9673202614379086,1.3611111111111112,1.1503267973856208,-1.2853025936599423,-0.8232468780019212,-0.8893203883495145,-0.7339805825242719
-0.7287319422150883,0.6790923824959482,-3.3695299837925448,-3.965686274509804,1.357843137254902,1.1601307189542485,-1.2881844380403458,-0.5206532180595581,-0.7417475728155339,-0.7300970873786408
-0.7303370786516854,0.6742301458670988,-3.3711507293354943,-3.9754901960784315,1.3562091503267975,1.1633986928104576,-1.266090297790586,-0.5110470701248799,-0.5805825242718446,-0.7262135922330097
-0.7287319422150883,0.6709886547811994,-3.372771474878444,-3.9820261437908497,1.3627450980392157,1.1601307189542485,-1.271853986551393,-0.3746397694524496,-0.47766990291262135,-0.7106796116504854
-0.7287319422150883,0.6726094003241491,-3.3760129659643434,-3.980392156862745,1.3676470588235294,1.1486928104575163,-1.2785782901056677,-0.6263208453410183,-0.47378640776699027,-0.7145631067961165
-0.7287319422150883,0.6726094003241491,-3.374392220421394,-3.977124183006536,1.3709150326797386,1.142156862745098,-1.2708933717579252,-0.5091258405379443,-0.6,-0.7320388349514563
-0.7271268057784912,0.6677471636952999,-3.3760129659643434,-3.977124183006536,1.3758169934640523,1.1339869281045751,-1.2526416906820366,-0.5379442843419788,-0.7689320388349514,-0.7378640776699029
-0.7255216693418941,0.6645056726094003,-3.3760129659643434,-3.977124183006536,1.3741830065359477,1.1454248366013071,-1.2728146013448607,-0.8309317963496637,-0.8970873786407767,-0.7300970873786408
-0.7255216693418941,0.6499189627228525,-3.3760129659643434,-3.977124183006536,1.369281045751634,1.161764705882353,-1.2843419788664745,-0.8242074927953891,-0.9844660194174757,-0.7281553398058253
-0.7271268057784912,0.6272285251215559,-3.3760129659643434,-3.977124183006536,1.369281045751634,1.1519607843137254,-1.2680115273775217,-0.8338136407300673,-1.0737864077669903,-0.7339805825242719
-0.7303370786516854,0.6175040518638574,-3.3776337115072934,-3.9754901960784315,1.3660130718954249,1.142156862745098,-1.2555235350624399,-0.8645533141210374,-1.1359223300970873,-0.7262135922330097
-0.7319422150882825,0.6094003241491086,-3.380875202593193,-3.977124183006536,1.3643790849673203,1.1470588235294117,-1.2632084534101826,-0.6858789625360231,-1.1242718446601943,-0.7184466019417476
-0.7319422150882825,0.6045380875202593,-3.3841166936790925,-3.9787581699346406,1.3643790849673203,1.1470588235294117,-1.2737752161383284,-0.7358309317963496,-1.1145631067961166,-0.7300970873786408
-0.7142857142857143,0.6045380875202593,-3.385737439222042,-3.977124183006536,1.3660130718954249,1.1519607843137254,-1.260326609029779,-0.5850144092219021,-1.120388349514563,-0.7242718446601941
-0.6500802568218299,0.6012965964343598,-3.387358184764992,-3.980392156862745,1.3676470588235294,1.15359477124183,-1.276657060518732,-0.654178674351585,-1.112621359223301,-0.7262135922330097
-0.565008025682183,0.6012965964343598,-3.3889789303079416,-3.985294117647059,1.3660130718954249,1.1486928104575163,-1.2737752161383284,-0.6906820365033621,-1.09126213592233,-0.7106796116504854
-0.46869983948635635,0.6029173419773096,-3.392220421393841,-3.977124183006536,1.3594771241830066,1.1503267973856208,-1.2891450528338135,-0.8001921229586936,-1.0718446601941747,-0.7126213592233009
-0.39646869983948635,0.6045380875202593,-3.392220421393841,-3.9722222222222223,1.3513071895424837,1.1568627450980393,-1.276657060518732,-0.7050912584053795,-1.0660194174757283,-0.7281553398058253
-0.3707865168539326,0.6012965964343598,-3.3905996758508916,-3.9673202614379086,1.34640522875817,1.161764705882353,-1.33045148895293,-0.5619596541786743,-1.0679611650485437,-0.7398058252427184
-0.39646869983948635,0.5834683954619124,-3.3905996758508916,-3.9640522875816995,1.3496732026143792,1.158496732026144,-1.3035542747358309,-0.6282420749279539,-1.0699029126213593,-0.7262135922330097
-0.46869983948635635,0.5510534846029174,-3.387358184764992,-3.9607843137254903,1.3529411764705883,1.1519607843137254,-1.302593659942363,-0.6464937560038425,-1.0640776699029126,-0.7029126213592233
-0.5634028892455859,0.5429497568881686,-3.3905996758508916,-3.9493464052287583,1.3562091503267975,1.1552287581699345,-1.292987512007685,-0.7598463016330451,-1.062135922330097,-0.6524271844660194
-0.6645264847512039,0.5688816855753647,-3.3954619124797407,-3.94281045751634,1.3496732026143792,1.158496732026144,-1.319884726224784,-0.48222862632084534,-1.062135922330097,-0.5592233009708738
-0.6966292134831461,0.6142625607779578,-3.3970826580226903,-3.9379084967320264,1.338235294117647,1.1633986928104576,-1.3419788664745438,-0.590778097982709,-1.062135922330097,-0.43106796116504853
-0.6982343499197432,0.6709886547811994,-3.3987034035656403,-3.9248366013071894,1.3316993464052287,1.161764705882353,-1.3218059558117194,-0.4438040345821326,-1.0640776699029126,-0.2543689320388349
-0.7174959871589085,0.7260940032414911,-3.3970826580226903,-3.918300653594771,1.3300653594771241,1.1568627450980393,-1.3227665706051874,-0.6282420749279539,-1.0679611650485437,0.0
-0.7303370786516854,0.826580226904376,-3.3938411669367907,-3.9133986928104574,1.3316993464052287,1.161764705882353,-1.3170028818443804,-0.46301633045148893,-1.0640776699029126,0.19223300970873786
-0.7158908507223114,0.9821717990275527,-3.3970826580226903,-3.906862745098039,1.3333333333333333,1.1650326797385622,-1.329490874159462,-0.5331412103746398,-1.062135922330097,0.2543689320388349
-0.6934189406099518,1.0907617504051863,-3.40032414910859,-3.892156862745098,1.3300653594771241,1.1650326797385622,-1.3170028818443804,-0.5408261287223823,-1.058252427184466,0.08737864077669903
-0.6918138041733547,1.0972447325769854,-3.3954619124797407,-3.8823529411764706,1.3284313725490196,1.1601307189542485,-1.3237271853986552,-0.5725264169068204,-1.0563106796116506,-0.2
-0.6982343499197432,0.9076175040518638,-3.3938411669367907,-3.8823529411764706,1.3316993464052287,1.1470588235294117,-1.3362151777137368,-0.5850144092219021,-1.0524271844660193,-0.40388349514563104
-0.7078651685393258,0.7617504051863857,-3.3938411669367907,-3.8872549019607843,1.3333333333333333,1.1470588235294117,-1.3371757925072045,-0.6416906820365034,-1.0446601941747573,-0.5436893203883495
-0.7126805778491172,0.7374392220421394,-3.392220421393841,-3.8937908496732025,1.3316993464052287,1.1552287581699345,-1.3362151777137368,-0.7137367915465899,-1.0427184466019417,-0.6504854368932039
-0.7142857142857143,0.7034035656401945,-3.380875202593193,-3.892156862745098,1.3300653594771241,1.1568627450980393,-1.3592699327569644,-0.5773294908741594,-1.0485436893203883,-0.7223300970873786
-0.7158908507223114,0.6596434359805511,-3.3711507293354943,-3.892156862745098,1.3300653594771241,1.1650326797385622,-1.3314121037463977,-0.6935638808837656,-1.0563106796116506,-0.7320388349514563
-0.7191011235955056,0.6353322528363047,-3.3695299837925448,-3.8970588235294117,1.3218954248366013,1.158496732026144,-1.3419788664745438,-0.3573487031700288,-1.0737864077669903,-0.7281553398058253
-0.7191011235955056,0.6175040518638574,-3.3695299837925448,-3.892156862745098,1.3186274509803921,1.161764705882353,-1.3525456292026896,-0.9913544668587896,-1.0815533980582523,-0.7223300970873786
-0.7174959871589085,0.6012965964343598,-3.3695299837925448,-3.8872549019607843,1.3218954248366013,1.1568627450980393,-1.3333333333333333,-0.8395773294908742,-1.0893203883495146,-0.7009708737864078
-0.7174959871589085,0.6045380875202593,-3.3711507293354943,-3.8872549019607843,1.3202614379084967,1.1568627450980393,-1.350624399615754,-0.6570605187319885,-1.0990291262135923,-0.6815533980582524
-0.7174959871589085,0.6077795786061588,-3.3711507293354943,-3.8937908496732025,1.3218954248366013,1.15359477124183,-1.3535062439961576,-0.7262247838616714,-1.1029126213592233,-0.6757281553398058
-0.7191011235955056,0.6061588330632091,-3.3695299837925448,-3.900326797385621,1.3284313725490196,1.1503267973856208,-1.344860710854947,-0.5561959654178674,-1.104854368932039,-0.6699029126213593
-0.7223113964686998,0.6029173419773096,-3.3711507293354943,-3.8970588235294117,1.34640522875817,1.1519607843137254,-1.3390970220941403,-0.6772334293948127,-1.1029126213592233,-0.6601941747572816
-0.7191011235955056,0.6012965964343598,-3.374392220421394,-3.8905228758169934,1.3872549019607843,1.1568627450980393,-1.3323727185398655,-0.6023054755043228,-1.1009708737864077,-0.6893203883495146
-0.7174959871589085,0.6012965964343598,-3.3760129659643434,-3.8937908496732025,1.4526143790849673,1.1552287581699345,-1.3362151777137368,-0.6945244956772334,-1.1009708737864077,-0.7165048543689321
-0.7191011235955056,0.6045380875202593,-3.3760129659643434,-3.900326797385621,1.5326797385620916,1.142156862745098,-1.3410182516810758,-0.733909702209414,-1.0970873786407767,-0.7029126213592233
-0.7191011235955056,0.6077795786061588,-3.3760129659643434,-3.90359477124183,1.642156862745098,1.130718954248366,-1.3631123919308357,-0.6560999039385207,-1.0970873786407767,-0.7067961165048544
-0.7191011235955056,0.6061588330632091,-3.3711507293354943,-3.8986928104575163,1.776143790849673,1.142156862745098,-1.324687800192123,-0.6426512968299711,-1.0932038834951456,-0.7048543689320388
-0.7191011235955056,0.6045380875202593,-3.366288492706645,-3.900326797385621,1.8905228758169934,1.1486928104575163,-1.3410182516810758,-0.7022094140249759,-1.09126213592233,-0.7300970873786408
-0.7207062600321027,0.6110210696920584,-3.358184764991896,-3.90359477124183,1.9248366013071896,1.1437908496732025,-1.3381364073006725,-0.6935638808837656,-1.0951456310679613,-0.7378640776699029
-0.723916532905297,0.6126418152350082,-3.3517017828200975,-3.900326797385621,1.8202614379084967,1.1405228758169934,-1.3362151777137368,-0.56388088376561,-1.0970873786407767,-0.7378640776699029
-0.723916532905297,0.6142625607779578,-3.340356564019449,-3.895424836601307,1.5735294117647058,1.1552287581699345,-1.3429394812680115,-0.5206532180595581,-1.0990291262135923,-0.7456310679611651
-0.7223113964686998,0.6191247974068071,-3.3354943273905997,-3.895424836601307,1.3251633986928104,1.161764705882353,-1.344860710854947,-0.7031700288184438,-1.0932038834951456,-0.7417475728155339
-0.723916532905297,0.6207455429497569,-3.3322528363047,-3.8986928104575163,1.2140522875816993,1.1568627450980393,-1.3266090297790587,-0.48318924111431316,-1.0893203883495146,-0.7495145631067961
-0.723916532905297,0.6239870340356564,-3.327390599675851,-3.900326797385621,1.2026143790849673,1.1454248366013071,-1.335254562920269,-0.6551392891450528,-1.087378640776699,-0.7320388349514563
-0.7207062600321027,0.6272285251215559,-3.3241491085899515,-3.90359477124183,1.2401960784313726,1.1454248366013071,-1.3592699327569644,-0.7319884726224783,-1.087378640776699,-0.7300970873786408
-0.7207062600321027,0.6272285251215559,-3.3241491085899515,-3.8986928104575163,1.3006535947712419,1.1568627450980393,-1.362151777137368,-0.7704130643611912,-1.087378640776699,-0.7300970873786408
-0.7207062600321027,0.6256077795786061,-3.3128038897893033,-3.892156862745098,1.3431372549019607,1.158496732026144,-1.3275696445725265,-0.5821325648414986,-1.0854368932038836,-0.7339805825242719
-0.7223113964686998,0.6256077795786061,-3.3030794165316046,-3.888888888888889,1.3709150326797386,1.1683006535947713,-1.3218059558117194,-0.920268972142171,-1.0776699029126213,-0.7359223300970874
-0.7207062600321027,0.6288492706645057,-3.3030794165316046,-3.895424836601307,1.3774509803921569,1.1748366013071896,-1.3487031700288183,-0.6503362151777138,-1.075728155339806,-0.7533980582524272
-0.7207062600321027,0.6320907617504052,-3.299837925445705,-3.8872549019607843,1.3676470588235294,1.1830065359477124,-1.3371757925072045,-0.5120076849183477,-1.0737864077669903,-0.7378640776699029
-0.7207062600321027,0.6369529983792545,-3.293354943273906,-3.8872549019607843,1.3545751633986929,1.1928104575163399,-1.3342939481268012,-0.9673390970220941,-1.0718446601941747,-0.7436893203883496
-0.7223113964686998,0.6385737439222042,-3.293354943273906,-3.8905228758169934,1.3431372549019607,1.1879084967320261,-1.3333333333333333,-0.9481268011527377,-1.0679611650485437,-0.7572815533980582
-0.7207062600321027,0.640194489465154,-3.304700162074554,-3.8970588235294117,1.3316993464052287,1.1879084967320261,-1.3371757925072045,-0.9020172910662824,-1.0640776699029126,-0.7378640776699029
-0.7207062600321027,0.6450567260940032,-3.3079416531604537,-3.892156862745098,1.3251633986928104,1.1830065359477124,-1.3333333333333333,-0.6666666666666666,-1.062135922330097,-0.7281553398058253
-0.7174959871589085,0.6499189627228525,-3.3128038897893033,-3.892156862745098,1.3284313725490196,1.1944444444444444,-1.3285302593659942,-0.7070124879923151,-1.058252427184466,-0.7320388349514563
-0.7126805778491172,0.653160453808752,-3.320907617504052,-3.8937908496732025,1.3235294117647058,1.1993464052287581,-1.3371757925072045,-0.5552353506243997,-1.058252427184466,-0.7223300970873786
-0.7174959871589085,0.6547811993517018,-3.325769854132901,-3.8970588235294117,1.3186274509803921,1.184640522875817,-1.3390970220941403,-0.6416906820365034,-1.054368932038835,-0.7165048543689321
-0.7174959871589085,0.653160453808752,-3.3387358184764993,-3.8986928104575163,1.3186274509803921,1.1830065359477124,-1.335254562920269,-0.6714697406340058,-1.0466019417475727,-0.7048543689320388
-0.7191011235955056,0.6580226904376013,-3.364667747163695,-3.8905228758169934,1.3169934640522876,1.1683006535947713,-1.329490874159462,-0.8597502401536984,-1.0407766990291263,-0.7184466019417476
