ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-37,-49,-26,-9,-36,12,8,75,52,99
-57,-62,-52,-14,-17,13,7,77,61,96
-35,-49,-25,-9,-35,13,8,76,55,98
-37,-48,-25,-10,-16,12,7,76,32,98
-37,-48,-25,-18,-33,13,8,77,45,99
-63,-68,-60,-12,-20,13,8,79,60,97
-55,-62,-51,-11,-36,14,8,76,60,101
-60,-63,-55,-13,-36,14,8,77,65,97
-37,-48,-24,-13,-17,13,7,78,44,98
-60,-63,-56,-11,-33,13,8,78,62,97
-61,-63,-54,-12,-33,13,7,77,71,101
-35,-49,-25,-12,-33,13,8,78,72,99
-58,-62,-54,-12,-18,13,8,79,63,98
-35,-48,-24,-11,-35,13,8,78,57,97
-34,-48,-23,-9,-32,14,8,79,47,101
-60,-64,-55,-11,-32,13,8,79,74,98
-36,-48,-24,-14,-19,13,8,78,41,101
-35,-47,-24,-16,-35,13,8,78,46,98
-56,-60,-51,-13,-32,13,8,76,73,103
-34,-46,-22,-10,-32,14,8,78,34,98
-61,-63,-58,-14,-34,13,8,78,54,101
-62,-66,-56,-13,-33,13,8,78,54,99
-60,-64,-53,-13,-33,13,8,78,54,103
-59,-64,-50,-11,-14,14,8,79,76,100
-57,-69,-52,-12,-17,13,7,78,53,97
-34,-47,-23,-13,-32,13,8,79,40,100
-36,-47,-24,-15,-35,13,8,77,44,102
-36,-47,-24,-13,-33,13,8,78,64,100
-63,-77,-54,-8,-32,14,8,79,68,98
-36,-48,-25,-14,-35,14,8,79,49,102
-35,-48,-24,-10,-35,14,8,79,63,102
-36,-47,-24,-10,-16,14,8,80,34,97
-35,-48,-24,-10,-20,13,8,78,48,100
-66,-74,-53,-11,-33,14,8,79,42,101
-36,-48,-25,-14,-20,14,8,80,47,101
-53,-58,-49,-14,-36,14,8,78,48,101
-36,-48,-25,-11,-35,13,7,78,48,99
-61,-64,-52,-8,-33,14,8,79,52,101
-67,-80,-59,-11,-32,14,8,81,71,104
-35,-47,-24,-15,-35,14,8,79,56,103
-58,-76,-53,-15,-33,14,8,79,41,99
-55,-60,-52,-19,-32,13,8,80,64,100
-53,-58,-49,-12,-16,14,8,79,44,104
-53,-58,-50,-13,-32,15,8,81,76,99
-53,-67,-49,-12,-32,14,8,80,53,99
-65,-76,-53,-13,-16,14,8,81,58,103
-35,-47,-24,-12,-32,13,8,79,55,101
-34,-47,-23,-11,-31,14,8,78,59,102
-56,-60,-50,-14,-32,13,8,79,56,101
-38,-63,-16,-7,-36,32,17,87,66,112
-80,-114,-55,-9,-15,14,8,77,40,95
-67,-73,-56,-10,-14,14,9,81,66,101
-65,-75,-58,-9,-32,14,8,78,46,100
-56,-61,-52,-10,-37,14,8,79,44,99
-57,-60,-51,-11,-32,14,8,80,61,101
-36,-48,-25,-13,-35,13,8,79,56,104
